Id;Name;timeset;Degree;weighted degree;Eccentricity;Closeness;harmonicclosnesscentrality;Betweenness;Modularity Class;Pageranks;componentnumber;clustering;Triangles;Eigen;Country;Political Party
5800;Barack Obama;;233;233;8;0.358848;0.39937;0.268338;23;0.003831;0;0.010471;283;0.294259;USA;Democratic Party
1864;Manfred Weber;;323;323;9;0.304909;0.354221;0.055517;16;0.004028;0;0.041825;2175;0.375572;Germnany;Christian Social Union
3576;Angela Merkel;;207;207;9;0.310829;0.355847;0.054119;16;0.002451;0;0.061489;1311;0.328735;Germany;Christian Democratic Union
2900;Hillary Clinton;;72;72;9;0.305556;0.335974;0.048304;23;0.001268;0;0.010563;27;0.094325;USA;Democratic Party
1324;Justin Trudeau;;142;142;9;0.294716;0.329169;0.045106;18;0.001215;0;0.139546;1397;0.252518;Canada;Liberal
3008;Sir Peter Bottomley MP;;172;172;9;0.222369;0.250858;0.037262;22;0.004408;0;0.017408;256;0.048979;UK;Conservative Party
1965;Malcolm Turnbull;;123;123;9;0.309689;0.3438;0.035353;1;0.001009;0;0.181527;1362;0.211181;Australia;Liberal Party
4395;Narendra Modi;;90;90;9;0.280804;0.307049;0.034074;17;0.001382;0;0.045194;181;0.076586;India;BJP
191;Loïc Hervé;;118;118;10;0.288936;0.317165;0.031784;5;0.001921;0;0.037375;258;0.05535;France;Union of Democrats and Independents
1836;Boris Johnson;;33;33;9;0.262172;0.283685;0.028978;22;0.00067;0;0.068182;36;0.02346;UK;Conservative
4874;Joachim Herrmann;;250;250;9;0.292382;0.335445;0.028787;16;0.002946;0;0.050217;1563;0.296022;Germany;Christian Social Union
4081;Mariya Gabriel;;169;169;9;0.323512;0.363533;0.027823;14;0.001522;0;0.123345;1751;0.753581;Bulgary;GERB
1474;Martin Schulz;;193;193;8;0.300856;0.338716;0.023488;14;0.001799;0;0.127105;2355;0.770752;Germany;Social Democratic Party of Germany
