id;name
1661;陳根德
52;林淑芬
3477;Chris White
3193;Stewart Hosie MP
4425;Frank Schäffler
2130;Jean-François Jalkh
1716;Kennedy Stewart
4812;Hans Andersen
3185;Scott Emerson
4903;Vittorio Ferraresi
3669;Eruviel Ávila
1079;Angela Crawley MP
5874;Dr. Jorge Silva
22;Dariusz Rosati
798;Jorge Côrte Real
5703;Lynn Westmoreland
4185;Ed Husic MP
1908;Paula Bertol
4042;Andy Fillmore
3345;Deval Patrick
828;Janusz Cichoń
1406;François de Rugy
2623;Jesús de la Garza Chuchín
4335;Gerardo García Castillo
4966;Valeria Fedeli
5183;Wayne Anderson, United Conservative MLA for Highwood
4884;Barbara Lee
3301;Andrzej Halicki
5567;Jarosław Wałęsa
5191;Helmut Brandt
5713;Sabine Verheyen
2060;Rona Ambrose
639;Benedita da Silva
4286;Alessia Rotta
519;Tony Abbott
4693;Anabel Acosta Islas
5672;Baey Yam Keng 马炎庆
1680;Jane Philpott
5147;Edward Scicluna
5425;Pablo Iglesias
4865;陳茂嘉
2788;Tim Richardson
1445;Gonzaga Patriota
1537;Tomás Gómez
4687;Joni Ernst
3006;Metiria Turei MP
2401;Markus Hümpfer
1732;Rogán Antal
2150;Bogdan Gheorghiu
3305;Joshua Morris MP
4417;Daniel Hannan
658;Petr Dolínek
674;Hon. Candice Bergen, MP
278;Barbara L'Italien
2526;Mónica Oltra
119;Lorenz Caffier
4654;Jolanta Szczypińska
3809;Angela Lück
593;Kakha Kaladze კახა კალაძე
2952;Senador Wilder Morais
5482;Hans-Peter Friedrich, CSU
3380;Senator Don Plett
1246;Alexandre Cloutier
2019;Alistair Burt
847;Marco A. Mena
1174;Tom McGee
1748;Jonathan Coleman
1982;Steph Ryan for Euroa
4023;Cem Özdemir
468;Randy Boissonnault
4749;Amanda Rishworth MP
2591;Karin Strenz, MdB
5012;Stephen Crabb
5422;Andreas Lenz
3733;Hector Gutierrez de la Garza
4356;Andy Burnham
2669;Jürgen Baumgärtner
2599;Constanze Krehl, MdEP
3541;Diane Lebouthillier
5200;Patrick Labaune
4496;Kirsten Kappert-Gonther
3719;Simon Busuttil
1639;Padre João PT
2707;Bärbel Höhn
922;Senator Linda Frum
3460;Julia Klöckner
424;看見幸福 呂玉玲
5718;Craig Ondarchie MP
2103;Michael Atkinson
1299;Wilfried Oellers
5285;Peter MacKay
1389;Deane Rykerson for Kittery
3697;Sir Alan Haselhurst
2136;Mike Sonko.
2543;Juan Carlos Varela
5230;Indio da Costa
1220;Mike Kelly MP
298;Steven MacKinnon
4412;Leif Lahn Jensen
5087;José de Filippi
1475;Hugh McDermott MP: State Member for Prospect
5463;Alejandra López Noriega
747;Lisa Nandy
2514;Jenny Salesa MP
1616;Erling Bonnesen
3691;Albert Rösti
5312;Jodi McKay MP - Member for Strathfield
2127;Rita Stockhofe
3131;Astrid Rössler
3690;Pierfrancesco Maran
719;Laura Castelli
3805;Keiko Ota
1711;Andreas Schwarz
5233;Cacá Leão
5140;Dan Kildee
2169;Lee Li Lian 李丽连
4555;Theodor Stolojan
702;Erin McClelland
1318;Alexander Funk
