Id;Label
0;Mark Bailey MP - Labor for Miller
1972;Jo-Ann Miller MP
5111;Senator Claire Moore
138;Shane King MP-  Labor for Kurwongbah
3053;Di Farmer MP
1473;Leanne Linard MP
4978;Aaron Harper MP
4523;Sénateur Pierre-Hugues Boisvenu
2334;Jackie Trad
1038;Jim Madden - Labor for Ipswich West
3923;邱志偉
3874;Grace Grace MP
766;Senator Chris Ketter
98;Bill Shorten MP
2676;Craig Crawford - Labor For Barron River
1547;Stirling Hinchliffe MP
3622;Mark Ryan MP
5292;Dr Anthony Lynham
5455;Joe Kelly MP
2755;Linus Power
568;Luke Howarth
1849;Andrew Leigh MP
980;Don Brown MP
1578;Leeanne Enoch MP
4674;Paolo Gentiloni
876;Nikki Boyd MP
3842;Glenn Butcher - Member for Gladstone
5866;Duncan Pegg - Member for Stretton
3883;Jess Pugh for Mount Ommaney
2524;Cathy O'Toole MP
961;Jim Chalmers MP - Member for Rankin
5154;Coralee O'Rourke MP
3372;Joan Pease MP
2639;Annastacia Palaszczuk MP
3099;Terri Butler MP
2852;Peter Russo - Labor for Toohey
1909;Tony Burke MP
4537;Graham Perrett MP
1676;Julieanne Gilbert Member for Mackay
4924;Mick de Brenni for Springwood
724;Tanya Plibersek
5855;Anthony Albanese MP
4157;Mark Furner MP for Ferny Grove
2051;Curtis Pitt MP
4630;Melissa McMahon - Labor candidate for Macalister
1;Victor Dominello MP
4413;Jillian Skinner MP
4896;Adam Crouch MP – Member for Terrigal
5471;Scott Farlow MLC
3531;Gabrielle Upton
1965;Malcolm Turnbull
2565;Mark Coure MP
3317;Pru Goward
5565;Troy Grant
2448;Rob Stokes
955;Melinda Pavey
3699;Geoff Lee - MP, Seat of Parramatta
519;Tony Abbott
3849;Andrew Constance MP
5557;Craig Laundy
1618;Chris Patterson MP
3779;Gareth Ward
3550;Melanie Gibbons MP
3866;John Alexander
5729;Bruce Notley-Smith MP
2;Jean-Claude Poissant
4073;Nicola Di Iorio Ad. E.
641;Marc Serré
2111;Michel Picard
5061;Laurent Lessard
147;Marie-Claude Bibeau
453;Eva Nassif
1454;Denis Paradis
1707;Michael McLeod
5867;Dr. Hedy Fry
4016;Marc Miller
2708;Fayçal El-Khoury
5438;Anju Dhillon
762;Emmanuel Dubourg
1997;Richard Merlini Député de La Prairie
2386;Pamela Goldsmith-Jones
3;Deputado Ademir Camilo
1712;Moreira Mendes
3833;Geovania de Sá
1172;Alberto Fraga
5062;Manfred Haimbuchner
1449;Elmar Podgorschek
3940;HC Strache
4;Philippe Couillard
2075;Christine St-Pierre
396;Luc Blanchette
2739;Jean-Marc Fournier
1812;Norbert Morin
3693;Robert Poëti
4938;Saul Polo
2536;Michel Matte
5110;Pierre Arcand
2353;Kenneth Kristensen Berth
3173;Marc Tanguay
810;Pierre Moreau
2017;Paolo Bartolozzi
4745;Martin Coiteux
2293;Jean Rousselle - Député de Vimont
1845;Luc Fortin
3721;Jean-Denis Girard
4247;Pierre Giguère
2812;André Drolet
2387;Francine Charbonneau
2296;Catherine McKenna
208;Jean D'Amour
5344;Germain Chevarie
3368;Paul Kagame
1602;Peter Schiefke
5033;Hélène David
2779;Carlos J. Leitão
1439;Jim Flaherty
4303;Lise Thériault
5036;François Blais
596;Sébastien Proulx
88;Kathleen Weil
5485;Dominique Vien
4227;Véronyque Tremblay
3072;Nadja Weippert
2351;Paul Busque
5;Eliziane Gama
4698;Marina Silva
521;Juscelino Filho
4311;Roberto Freire
4398;Luiz Couto
6;John Neely Kennedy
5281;Charles Boustany Jr
7;Digvijaya Singh
535;Ovidiu Raeţchi
3333;Kapil Sibal
1244;Rahul Gandhi
5204;KJ George
5298;Hans van Baalen
8;Françoise Guégot
191;Loïc Hervé
9;Mark Lancaster
3008;Sir Peter Bottomley MP
10;Damien Moore MP
5708;Daniel Dalton MEP
11;Monika Grütters
5694;Martin Pätzold
1091;David McAllister
3331;Frank Henkel
5882;Peter Tauber
3460;Julia Klöckner
1478;Sybille Benning
2767;Mario Czaja
3947;Stefan Evers
4711;Reiner Haseloff
3720;Karl-Josef Laumann
492;Florian Graf
4570;Ulle Schauws
464;Thomas Strobl
3576;Angela Merkel
5480;Christina Schwarzer
3491;Jens Spahn
4967;Sandra Cegla
2097;Burkard Dregger
1605;Dr. Jan-Marco Luczak MdB
5442;Falko Liecke
1581;Annegret Kramp-Karrenbauer
4248;Volker Bouffier
3925;Armin Laschet
4076;Anja Karliczek
5393;Kai Wegner
2195;Dr. Philipp Murmann
5570;Thomas Heilmann
12;Lance Gooden
2148;Dan Huberty
3867;Werner Kogler
5768;Jim Murphy
527;Ulrike Lunacek
13;Ivan ŠTEFANEC
1864;Manfred Weber
14;Carlos Joaquín
1330;Alicia Ricalde
3685;Perla Tun
540;Héctor Larios Córdova
4509;Francisco Cabeza De Vaca
15;張宏陸
4735;蔡英文 Tsai Ing-wen
487;吳琪銘
4894;吳秉叡
1662;陳建仁 Chen Chien-Jen
5536;蘇貞昌
16;Brandon Creighton
1734;Dan Patrick
5612;Rick Perry
1052;Representative Ed Thompson
2677;Drew Springer
3048;Ted Cruz
17;Eduardo Barbosa
2760;José Serra
709;Bruno Covas
1333;Nelson Marchezan Júnior
2638;Caio Narcio
1835;Mara Gabrilli
1159;Paulo Bauer
192;Betinho Gomes
18;François Hollande
1160;Thierry Braillard
2858;Elena Valenciano
3280;Stéphane Le Foll
5043;Jean-Marie Le Guen
3781;Igor Šoltes
1474;Martin Schulz
2299;Alexis Bachelay, Député des Hauts de Seine
484;Najat Vallaud-Belkacem
1519;Annick Lepetit
2654;Søren Espersen
5016;Ian Borg
5343;Manuel Valls
1258;Gérard Collomb
3334;Sylvie Guillaume, députée européenne
24;Marie-Pierre De la Gontrie
4585;Tanja Fajon
5142;Miguel Barbosa Huerta
821;Daniel Sieveke MdL
1801;Meyer Habib
2570;Gerardo Gaudiano Rovirosa
271;Francois André, Député d'Ille-et-Vilaine
3571;Arnaud Leroy
1740;Olivier Faure
2094;Dan Jørgensen
3387;Mariano Rajoy Brey
2690;Stephan Weil
1294;SORAYA    SAENZ    DE    SANTAMARIA
4119;Evans Paul
1390;Deb Fischer
4622;Achim Post
3615;Jean-Marc Ayrault
1077;Senator Kimberley Kitching
63;Philippe Noguès, une voix de gauche
660;Sylvia Pinel
1832;Axelle Lemaire
2187;Marylise Lebranchu
2121;Marisol Touraine
267;Éricka Bareigts
3495;Jean-David Ciot
155;John Key
2267;Seybah Dagoma
703;Sylviane Bulteau
2647;Richard Marles MP
2239;Pedro Sánchez Pérez-Castejón
2375;Tomislav Nikolić
3074;Shinjiro Koizumi
2213;Jean-Jacques Urvoas
19;Pat Toomey
2851;Mitt Romney
5334;Tom Cotton
20;Jean Rioux
1324;Justin Trudeau
5879;Majid Jowhari
3541;Diane Lebouthillier
3037;Pierre Breton
3079;MaryAnn Mihychuk
3661;David Lametti - LaSalle Émard Verdun
21;Manolo Jiménez Salinas
2025;Lilia Merodio
5102;Peter Tomaschko, MdL
3726;Manlio Fabio Beltrones Rivera
22;Dariusz Rosati
1664;Piotr Cieśliński Poseł na Sejm RP
4015;Joanna Kluzik-Rostkowska
264;Danuta Jazłowiecka
1777;Norbert Obrycki - Poseł na Sejm RP
1232;Jan Grabiec
1074;Sławomir Nitras
5226;Jarosław Urbaniak
1804;Tomasz Piotr Nowak
5128;Marcin Święcicki
2180;Kinga Gajewska
5288;Dr Agnieszka Kozłowska-Rajewicz
2030;Joanna Fabisiak
3624;Michał Boni
3301;Andrzej Halicki
3056;Jacek Kozłowski
5279;Jerzy Buzek
4961;Borys Budka
23;Muharrem İNCE
2374;Mustafa Balbay
4620;宋瑋莉
96;Kemal Kılıçdaroğlu
193;Leona Alleslev
4490;Arnold Chan
1218;Kathleen Wynne
1033;Rob Oliphant
2684;Chris Ballard MPP
3885;Carolyn Bennett
2675;Gagan Sikand
5483;Navdeep Bains
5888;Gary Anandasangaree
25;Jennifer Newman
4121;Chris Steel MLA
4987;Thomas Silberhorn
417;Andrew Wall MLA
3651;Tara Cheyne MLA
5758;Michael Pettersson MLA
2930;Suzanne Orr
26;Elmar Brok
503;Steffen Kampeter
3445;Carles Puigdemont i Casamajó
2951;Herbert Reul
2520;Dr. Peter Liese, MdEP
4874;Joachim Herrmann
5590;Burkhard Balz
3744;Alexander Graf Lambsdorff
3278;Daniel Constantin
2958;Tim Ostermann
27;Andrew J. Ullmann
1952;Volker Wissing
28;Councilman Jeremy Whittaker
4976;Ann Kirkpatrick
684;U.S. Senator Bernie Sanders
450;Al Franken
1877;Kyrsten Sinema
5028;Rep. Ruben Gallego
224;Kula Segaran
4714;Lim Kit Siang (林吉祥)
3030;Liow Cai Tung 廖彩彤
1820;Tony Pua
3443;CM Lim Guan Eng
4898;Miguel Uribe Turbay
196;Teresa Kok
5549;Dr. Ong Kian Ming - 王建民
475;Liew Chin Tong
30;Davide Caparini
3428;Alessandro Di Battista
477;Matteo Salvini
31;Umut Oran
1957;Hayri İnönü
4612;George A. Papandreou
32;Jaromír Štětina, člen EPP frakce Evropského parlamentu
1300;MUDr. Gabriela Pecková - TOP 09
33;Fernando Ruas
4893;José Manuel Fernandes
1166;Cláudia Monteiro de Aguiar
4103;Carlos Coelho
4942;Carlos Moedas
1048;Paulo Rangel
5791;Christos Stylianides - Χρήστος Στυλιανίδης
5118;Jean-Claude Juncker
2420;Kristdemokraterna
34;Justyne Caruana
4806;Deo Debattista
35;Victoria Prentis
36;Keir Starmer
151;Ismail Omar Guelleh
5539;Stephen Cowan
5011;Bárány Balázs
37;פרופ' מנואל טרכטנברג - Prof. Manuel Trajtenberg
494;יצחק (בוז'י) הרצוג - Isaac Herzog
2692;דניאל עטר - Daniel Atar
167;שלי יחימוביץ
5258;קסניה סבטלובה - Ксения Светлова
2568;Tzipi Livni - ציפי לבני
1892;איל בן ראובן
2830;Michal Biran | מיכל בירן
5475;איילת נחמיאס ורבין - Ayelet Nahmias Verbin
182;איתן ברושי - Eytan Broshi
2529;"רויטל סויד עו""ד | Revital Swid"
2849;יוסי יונה - Yossi Yonah
4095;מיקי רוזנטל
2281;עמיר פרץ Amir Peretz
4629;זוהיר בהלול زهير بهلول
5303;"MK Hilik Bar      ח""כ חיליק בר"
288;נחמן שי - Nachman Shai
38;黃碧雲 Helena Wong
5322;尹兆堅 Andrew Wan
1448;Sauli Niinistö
2597;許智峯
2935;袁海文 Ramon YUEN
4465;黎敬瑋 Lai King Wai
2838;胡志偉 Wu Chi Wai
2742;鄺俊宇 Roy Kwong
3427;林卓廷 LAM CHEUK TING
1757;涂謹申 James To
4064;Emily Lau Wai-hing
304;Ip Kin Yuen 葉建源
3902;Dennis Kwok 郭榮鏗
2322;羅健熙 Lo Kin Hei
39;Carla Ruocco
2242;Michele Dell'Orco
2534;Davide Crippa - Cinque Stelle
2216;Dino Alberti
4953;Patrizia Terzoni - M5S
2678;Baleia Rossi
1703;Laura Ferrara
3807;Vilma Moronese Cittadina Senatrice M5S
1916;Serenella Fucksia
4112;Mattia Fantinati M5S
5770;Alberto Airola - Movimento 5 Stelle
4667;Carlo Sibilia
739;Daniela Donno
3411;Emanuele Cozzolino Cittadino Portavoce M5S Camera Deputati
2342;Marco Zullo
4125;Mirella Liuzzi - Portavoce M5S
4928;Paolo Nicolò Romano
4455;Matteo Dall'Osso
2642;Daniela Aiuto
2715;Eleonora Bechis
154;Maria Edera Spadoni
5833;Dalila Nesci
4410;Diego De Lorenzis Cittadino
1518;Giuseppe Brescia
4346;Chiara Di Benedetto
884;Fabio Massimo Castaldo
40;יובל שטייניץ
4415;Amir Ohana - אמיר אוחנה
3892;יריב לוין - Yariv Levin
1775;Miri Regev מירי רגב
1190;Benjamin Netanyahu - בנימין נתניהו
1118;Karlheinz Kopf
41;Michal Rozin מיכל רוזין
3435;זהבה גלאון Zehava Galon
183;אילן גילאון
1140;עליזה לביא
42;Claudette Buttigieg
2777;Roberta Metsola
3792;Robert Arrigo
1323;Therese Comodini Cachia
43;Vilson Covatti
3563;Silvana Covatti
4428;Ana Amélia Lemos
44;Brett Hudson MP
4541;Todd Muller MP
4739;Jacqui Dean MP
3283;Tim Macindoe MP
5789;Christopher Finlayson
1226;Gerry Brownlee
3126;Andrew Bayly MP
2175;Sarah Dowie MP
4855;Alastair Scott MP
162;Chris Bishop
2842;Maggie Barry MP
3618;David Seymour
5719;Nikki Kaye
3924;Jian Yang MP
2273;Chris Penk
5474;Barbara Kuriger MP
2469;Scott Simpson MP
1890;Judith Collins
4487;Amy Adams
2798;Melissa Lee MP
3027;Jo Hayes MP
4593;Paula Bennett
1009;Stuart Smith MP
5825;Hekia Parata
3601;Tony Ryall
4100;Simon Bridges MP
2395;Ian McKelvie MP
1698;Simon O'Connor
2396;Anne Tolley
4144;Matt Doocey MP Waimakariri
1778;Steven Joyce
2372;Todd McClay MP
472;Mark Mitchell MP
2326;Bill English
1978;Maureen Pugh MP
4520;Nuk Korako MP
45;Arash Derambarsh
46;Fabiana Dadone
719;Laura Castelli
2839;Silvia Chimienti
1042;Marco Scibona Cittadino in Senato
581;Chiara Appendino
969;Dario Tamburrano
5015;Sergio Puglia cittadino portavoce al Senato
5225;Michela Montevecchi
3513;Mario Michele Giarrusso Cittadino a 5 Stelle
5677;Sara Paglini
4587;Giulia Di Vita
5697;Andrea Colletti - Deputato del M5S
3594;Federica Dieni
3488;Enza Blundo
5051;Azzurra Cancelleri
89;Claudio Cominardi
2161;Paola Nugnes Cittadina al Senato con il  M5S
5081;Paola Taverna
2731;Laura Bottici - Movimento 5 Stelle
4903;Vittorio Ferraresi
3031;Nicola Morra
2259;Elena Fattori Senato M5S
5583;Francesca Businarolo MoVimento 5 Stelle
3438;Enrico Cappelletti
4576;Enrico Berlinguer
5744;César Colnago
4388;Mendes Thame
402;Rose de Freitas
3341;Lelo Coimbra
5003;Sérgio Vidigal
47;Royston Smith MP
48;Kevin Michel MLA
1088;Alannah MacTiernan
3762;Louise Pratt
3802;Rita Saffioti MLA
2435;Mark McGowan
49;Tim Hammond
4047;Jason Clare
4623;David Feeney MP
3121;Matt Keogh
480;Catherine King
2713;Senator Helen Polley
4801;Roger Cook
5093;Michelle Rowland MP
4443;Lisa Baker MLA
5107;Sabine Winton MLA
50;Giovanni Capriglione
3774;Glenn Hegar
51;Plauto Miró
4877;Ronaldo Caiado
52;林淑芬
5166;蘇嘉全Su Jia-chyuan
611;段宜康
66;基隆.蔡適應
3986;Bartosz Arłukowicz
2670;李昆澤
440;魏明谷
4676;李應元-台灣應元團
4594;吳思瑤
4219;李俊俋
735;管碧玲 (kuanbiling)
5082;陳菊 (花媽) 市長
5366;賴清德
3568;鄭麗君
53;Bernd Kölmel
2408;Sebastian Kurz
4722;Bernd Lucke
3585;Ulrike Trebesius, MEP
3906;Augustin Jianu
54;Clare Haughey MSP
1912;Derek Mackay MSP
4795;Kirsten Oswald - East Ren
55;Chad Griffith - Lake Macquarie
1224;Pat Conroy MP
3588;Anthony Byrne
4761;Mark Dreyfus
1368;Lara Giddings
2116;Chris Gambian
1500;Yvette Berry
4501;Katy Gallagher
5763;James Merlino
4185;Ed Husic MP
4155;Jenny Aitchison MP
3760;Josh Wilson MP
2249;Gai Brodtmann
1831;Chris Bowen
1344;Brendan O'Connor MP
3087;Penny Wong - Senator for SA
2998;John Robertson
2015;Stephen Jones MP
169;Joel Fitzgibbon MP
2205;Sonia Hornery MP
5785;Jenny Macklin MP
2337;Senator Kim Carr
2730;Julie Owens MP
4749;Amanda Rishworth MP
2230;Doug Cameron
3140;Sam Dastyari
3260;David Harris MP
698;Julie Collins MP
5312;Jodi McKay MP - Member for Strathfield
3753;Janelle Saffin
2663;Nuatali Nelmes - Lord Mayor of Newcastle
3684;Kate Ellis MP
2759;Shayne Neumann MP
470;Tim Crakanthorp MP
1142;Senator Sue Lines
1622;Yasmin Catley MP
4870;Geoff Howard
3489;Mark Butler MP
4680;Kate Washington MP - Member for Port Stephens
4498;Matt Thistlethwaite MP
4911;Sharon Claydon MP
56;Miguel Ángel Osorio Chong
2722;Ivonne Álvarez
434;Harold LeBel
2364;Héctor Yunes Landa
4499;Silvia Garza
5655;Ing. Enrique Cárdenas del Avellano
577;Jesús Casillas
